Account Owner,Account Owner ID,Account Name,Phone,Account Site,Fax,Parent Account,Parent Account ID,Account Number,Account Type,Industry,Annual Revenue,Created By,Created by ID,Modified By,Modified by ID,Created Time,Modified Time,Billing Street,Billing City,Billing State,Billing Code,Billing Country,Description,Last Activity Time,Layout,Layout ID,Tag,Water System No,Website URL,Principal Country Served
,,KATHERINE RESORTS LANDING,619-405-4052,,,,,,,,,,,,,,,7885 QUINCE ST,LA MESA,CA,91941,,,,,,,,,
,,JOSEPH CITY DWID,928-288-3455,,,,,,,,,,,,,,,PO BOX 147,JOSEPH CITY,AZ,86032,,,,,,,,,
,,JOSHUA VALLEY WATER COMPANY,928-564-2552,,,,,,,,,,,,,,,,MEADVIEW,AZ,86444,,,,,,,,,
,,KACHINA VILLAGE DWID,928-525-1775,,,,,,,,,,,,,,,3150 JADITO TRAIL,FLAGSTAFF,AZ,86005,,,,,,,,,
,,KEARNY TOWN OF,520-363-0209,,,,,,,,,,,,,,,PO BOX 958,KEARNY,AZ,85137,,,,,,,,,
,,KINGMAN MUNICIPAL WATER,928-757-7467,,,,,,,,,,,,,,,3700 E ANDY DEVINE,KINGMAN,AZ,86401,,,,,,,,,
,,KIRKLAND MHP,928-442-9567,,,,,,,,,,,,,,,PO BOX 160,KIRKLAND,AZ,86332,,,,,,,,,
,,KLAFTER WELL COOP,520-370-4868,,,,,,,,,,,,,,,5850 E. KLAFTER RD,TUCSON,AZ,85756,,,,,,,,,
,,LA CASITA WATER COMPANY 1,520-624-1460,,,,,,,,,,,,,,,PO BOX 85160,TUCSON,AZ,85754,,,,,,,,,
,,KINO RANCH 2,520-285-5754,,,,,,,,,,,,,,,PO BOX 4341,RIO RICO,AZ,85648,,,,,,,,,
,,LA CASITA WATER COMPANY 2,520-624-1460,,,,,,,,,,,,,,,PO BOX 85160,TUCSON,AZ,85754,,,,,,,,,
,,KOKOPELLI SPRINGS RESORT,520-720-5401,,,,,,,,,,,,,,,217 S LEE,ST DAVID,AZ,85630,,,,,,,,,
,,LA CASITA WATER COMPANY 3,520-624-1460,,,,,,,,,,,,,,,PO BOX 85160,TUCSON,AZ,85754,,,,,,,,,
,,KELVIN SIMMONS COOP,480-703-9875,,,,,,,,,,,,,,,,SAN TAN VALLEY,AZ,85140,,,,,,,,,
,,LA CHOLLA AIRPARK,520-297-8096,,,,,,,,,,,,,,,1777 W CESSNA WAY,ORO VALLEY,AZ,85755,,,,,,,,,
,,LA COSTA WATER USERS ASSOC,717-279-1723,,,,,,,,,,,,,,,,DOUGLAS,AZ,85607,,,,,,,,,
,,KATHERINE HEIGHTS,435-352-0144,,,,,,,,,,,,,,,1209 E OAK GROVE DR,WASHINGTON,UT,84780,,,,,,,,,
,,LAKE HAVASU CITY OF,928-855-2618,,,,,,,,,,,,,,,1221 PALO VERDE LN,LAKE HAVASU CITY,AZ,86404,,,,,,,,,
,,LAKE MARY COUNTRY STORE,928-774-1742,,,,,,,,,,,,,,,,FLAGSTAFF,AZ,86005,,,,,,,,,
,,LAGOON ESTATES WC UNIT 2,602-275-0211,,,,,,,,,,,,,,,,MOHAVE VALLEY,AZ,86446,,,,,,,,,
,,LAGOON ESTATES WC UNIT 7,602-275-0211,,,,,,,,,,,,,,,,MOHAVE VALLEY,AZ,86446,,,,,,,,,
,,LAGUNA MOBILE HOME AND RV PARK,909-481-9300,,,,,,,,,,,,,,,PO BOX 9241,RANCHO CUCAMONGA,CA,91701,,,,,,,,,
,,LAKEWOOD ESTATES WATER COMPANY,520-624-1460,,,,,,,,,,,,,,,PO BOX 85160,TUCSON,AZ,85754,,,,,,,,,
,,LAKESIDE WATER COMPANY,602-677-5908,,,,,,,,,,,,,,,PO BOX 10728,PRESCOTT,AZ,86304,,,,,,,,,
,,LAMPLIGHTER RV RESORT,928-474-5048,,,,,,,,,,,,,,,,STAR VALLEY,AZ,85541,,,,,,,,,
,,LAZY A MOBILE HOME PARK,520-825-9835,,,,,,,,,,,,,,,15555 N ORACLE RD,TUCSON,AZ,85739,,,,,,,,,
,,LAZY C WATER SERVICES,520-743-0758,,,,,,,,,,,,,,,PO BOX 1,TUCSON,AZ,85702,,,,,,,,,
,,LAZY ACRES MHP,520-571-6400,,,,,,,,,,,,,,,2935 E BENSON HWY,TUCSON,AZ,85706-1709,,,,,,,,,
,,LIBERTY WATER LPSCO,623-935-9367,,,,,,,,,,,,,,,12725 W INDIAN SCHOOL RD,AVONDALE,AZ,85323,,,,,,,,,
,,LITTLE PARK WATER COMPANY,928-284-2298,,,,,,,,,,,,,,,45 CASTLE ROCK RD,SEDONA,AZ,86351,,,,,,,,,
,,LIBERTY WATER RIO RICO,520-417-4466,,,,,,,,,,,,,,,4055 CAMPUS DR,SIERRA VISTA,AZ,85635,,,,,,,,,
,,LAKE VERDE WATER COMPANY,928-567-9170,,,,,,,,,,,,,,,738 S PARKS DR,CAMP VERDE,AZ,86322,,,,,,,,,
,,LOMA LINDA WATER COMPANY,520-405-0876,,,,,,,,,,,,,,,PO BOX 86205,PHOENIX,AZ,85080,,,,,,,,,
,,LIVING SPRINGS MHP - RAINBOW TROUT FARM,928-282-3379,,,,,,,,,,,,,,,,SEDONA,AZ,86336,,,,,,,,,
,,LORD AZ WATER 2 - WINCHESTER TRAILS,928-537-8739,,,,,,,,,,,,,,,PO BOX 245,TAYLOR,AZ,85939,,,,,,,,,
,,KATHERINE LANDING DWTP,702-293-8739,,,,,,,,,,,,,,,601 NEVADA WAY,BOUDLER CITY,NV,89005,,,,,,,,,
,,LAGO DEL ORO WATER COMPANY,520-825-3423,,,,,,,,,,,,,,,9532 E RIGGS RD,SUN LAKES,AZ,85248-7463,,,,,,,,,
,,LORD AZ WATER WILDERNESS,928-537-8739,,,,,,,,,,,,,,,PO BOX 245,TAYLOR,AZ,85939,,,,,,,,,
,,LOS ARBOLES MOBILE HOME PARK,520-623-7628,,,,,,,,,,,,,,,PO BOX 41074,TUCSON,AZ,85717,,,,,,,,,
,,LYN LEE WATER COMPANY,520-405-0876,,,,,,,,,,,,,,,PO BOX 86205,PHOENIX,AZ,85080,,,,,,,,,
,,MAJESTIC VIEW ESTATES,928-814-9990,,,,,,,,,,,,,,,,KINGMAN,AZ,86001,,,,,,,,,
,,MANNEKEN APARTMENTS,928-445-8087,,,,,,,,,,,,,,,981 COPPER VISTA DR,PRESCOTT,AZ,86303,,,,,,,,,
,,LAS QUINTAS SERENAS WATER COMPANY,520-625-8040,,,,,,,,,,,,,,,PO BOX 68,SAHUARITA,AZ,85629,,,,,,,,,
,,LOS CERROS WATER COMPANY INC,520-744-7844,,,,,,,,,,,,,,,,TUCSON,AZ,85737,,,,,,,,,
,,MARANA CORRECTIONAL FACILITY,520-682-2077,,,,,,,,,,,,,,,12610 W SILVERBELL RD,MARANA,AZ,85653,,,,,,,,,
,,MARANA DWID - CULVER,520-682-5027,,,,,,,,,,,,,,,16560 W. EL TIRO RD.,MARANA,AZ,85653,,,,,,,,,
,,MAMMOTH TOWN OF,520-487-2331,,,,,,,,,,,,,,,,MAMMOTH,AZ,85618,,,,,,,,,
,,LIVCO WATER COMPANY,928-337-2266,,,,,,,,,,,,,,,PO BOX 659,CONCHO,AZ,85924,,,,,,,,,
,,MARANA MUNICIPAL - HARTMAN VISTAS,520-382-2570,,,,,,,,,,,,,,,3590 S WESTERN WY,TUCSON,AZ,85735,,,,,,,,,
,,MARANA MUNICIPAL - PICTURE ROCKS,520-382-2570,,,,,,,,,,,,,,,3590 S WESTERN WY,TUCSON,AZ,85735,,,,,,,,,
,,MARANA MUNICIPAL-PALO VERDE,520-382-2570,,,,,,,,,,,,,,,3590 S WESTERN WY,TUCSON,AZ,85735,,,,,,,,,
,,MARANA DWID - DERRINGER,520-682-5027,,,,,,,,,,,,,,,16560 W. EL TIRO RD.,MARANA,AZ,85653,,,,,,,,,
,,MARICOPA CONSOLIDATED  DWID,520-568-2239,,,,,,,,,,,,,,,PO BOX 209,MARICOPA,AZ,85139,,,,,,,,,
,,MAYER DWID,928-632-4113,,,,,,,,,,,,,,,PO BOX 416,MAYER,AZ,86333,,,,,,,,,
,,MCNEAL WATER COMPANY,520-405-9368,,,,,,,,,,,,,,,PO BOX 154,MCNEAL,AZ,85617,,,,,,,,,
,,MESALAND WATER COMPANY,520-297-4268,,,,,,,,,,,,,,,8600 N PONOMA AVE,TUCSON,AZ,85704,,,,,,,,,
,,MARICOPA MOUNTAIN DWID 1,520-424-9646,,,,,,,,,,,,,,,626 S RUBY RD,MARICOPA,AZ,85139,,,,,,,,,
,,MARICOPA MOUNTAIN DWID 2,520-424-9646,,,,,,,,,,,,,,,727 N AMARILLO VALLEY RD,MARICOPA,AZ,85139,,,,,,,,,
,,MARANA MUNICIPAL - MARANA,520-382-2570,,,,,,,,,,,,,,,3590 S WESTERN WY,TUCSON,AZ,85735,,,,,,,,,
,,MESCAL LAKES WATER SYSTEM,520-624-1460,,,,,,,,,,,,,,,PO BOX 85160,TUCSON,AZ,85754,,,,,,,,,
,,MESQUITE WELL GROUP,520-825-3657,,,,,,,,,,,,,,,16645 N MAYFIELD AVE,TUCSON,AZ,85739,,,,,,,,,
,,METROPOLITAN DWID,520-575-8100,,,,,,,,,,,,,,,6265 N LA CANADA DR,TUCSON,AZ,85704,,,,,,,,,
,,METROPOLITAN DWID - E&T SYSTEM,520-575-8100,,,,,,,,,,,,,,,6265 N LA CANADA DR,TUCSON,AZ,85704,,,,,,,,,
,,METROPOLITAN DWID - DIABLO VILLAGE,520-575-8100,,,,,,,,,,,,,,,6265 N LA CANADA DR,TUCSON,AZ,85704,,,,,,,,,
,,METROPOLITAN DWID - HUB,520-575-8100,,,,,,,,,,,,,,,6265 N LA CANADA DR,TUCSON,AZ,85704,,,,,,,,,
,,METROPOLITAN DWID - LAZY B,520-575-8100,,,,,,,,,,,,,,,6265 N LA CANADA DR,TUCSON,AZ,85704,,,,,,,,,
,,MI CASA RV CAMPGROUND,520-281-1150,,,,,,,,,,,,,,,2901 N GRAND AVE,NOGALES,AZ,85621,,,,,,,,,
,,MICHAELS RANCH WATER USERS ASSOCIATION,928-204-2824,,,,,,,,,,,,,,,1 MICHAELS DR,SEDONA,AZ,86336,,,,,,,,,
,,MICHIGAN TRAILER PARK,602-269-0122,,,,,,,,,,,,,,,3140 W OSBORN,PHOENIX,AZ,85017,,,,,,,,,
,,MINGUS MOUNTAIN ACADEMY,602-335-2031,,,,,,,,,,,,,,,PO BOX 26485,PRESCOTT VALLEY,AZ,86312,,,,,,,,,
,,MINGUS WEST WATER SYSTEM,928-759-3078,,,,,,,,,,,,,,,7501 E CIVIC CIR,PRESCOTT VALLEY,AZ,86314,,,,,,,,,
,,MIRABELL WATER COMPANY,520-624-1460,,,,,,,,,,,,,,,PO BOX 85160,TUCSON,AZ,85754,,,,,,,,,
,,MESA CITY OF,480-644-3481,,,,,,,,,,,,,,,PO BOX 1466,MESA,AZ,85211-1466,,,,,,,,,
,,MISSION PALMS APARTMENTS,520-297-2203,,,,,,,,,,,,,,,,TUCSON,AZ,85704,,,,,,,,,
,,MOBILE GARDENS DWID,623-388-2041,,,,,,,,,,,,,,,33520 HAPPY LN,WITTMAN,AZ,85361,,,,,,,,,
,,MISTY MOUNTAIN DWID,928-368-6226,,,,,,,,,,,,,,,9224 MISTY MOUNTAIN LN,LAKESIDE,AZ,85929,,,,,,,,,
,,MOBILE HOME PROPERTIES,520-419-8369,,,,,,,,,,,,,,,11751 N 1ST AVE,TUCSON,AZ,85737,,,,,,,,,
,,MORENCI WATER ELEC CO CLIFTON,928-865-2229,,,,,,,,,,,,,,,PO BOX 68,MORENCI,AZ,85540,,,,,,,,,
,,MONTE VISTA WATER COMPANY,,,,,,,,,,,,,,,,2130 E 12TH ST,DOUGLAS,AZ,85607,,,,,,,,,
,,MONTEZUMA HEIGHTS WATER,314-606-7044,,,,,,,,,,,,,,,,CAMP VERDE,AZ,86322,,,,,,,,,
,,MOHAWK VALLEY SCHOOL DISTRICT,928-785-4942,,,,,,,,,,,,,,,5151 S AVENUE 39 EAST,ROLL,AZ,85347,,,,,,,,,
,,MONTEZUMA RIMROCK WATER COMPANY,928-300-3291,,,,,,,,,,,,,,,PO BOX 10,RIMROCK,AZ,86335,,,,,,,,,
,,MORENCI WATER ELEC CO MAIN,928-865-2229,,,,,,,,,,,,,,,PO BOX 68,MORENCI,AZ,85540,,,,,,,,,
,,MORRISTOWN WATER COMPANY,623-693-6793,,,,,,,,,,,,,,,PO BOX 156,MORRISTOWN,AZ,85342,,,,,,,,,
,,MARANA MUNICIPAL - AIRLINE LAMBERT,520-382-2570,,,,,,,,,,,,,,,3590 S WESTERN WY,TUCSON,AZ,85735,,,,,,,,,
,,MOUNTAIN DELL WATER INC,928-774-9550,,,,,,,,,,,,,,,1500 W PALMER AVE,FLAGSTAFF,AZ,86001,,,,,,,,,
,,MOUNTAIN GLEN WATER SERVIC LINDEN TRAILS,520-624-1460,,,,,,,,,,,,,,,PO BOX 85160,TUCSON,AZ,85754,,,,,,,,,
,,MOUNTAIN VIEW MOBILE VILLAGE,928-600-5224,,,,,,,,,,,,,,,5790 W 8TH ST,YUMA,AZ,85364,,,,,,,,,
,,MOUNTAIN VIEW RV RANCH,520-398-9401,,,,,,,,,,,,,,,HCR 65 BOX 380,TUMACACORI,AZ,85640,,,,,,,,,
,,MOUNT FAGAN WATER CO-OP,520-749-8608,,,,,,,,,,,,,,,11111 E CAMINO AURELIA,TUCSON,AZ,86541,,,,,,,,,
,,MT TIPTON WATER COMPANY,928-767-3713,,,,,,,,,,,,,,,PO BOX 38,DOLAN SPRINGS,AZ,86441-0038,,,,,,,,,
,,NACO ESTATES,520-432-3347,,,,,,,,,,,,,,,7433 E BRUMBY LN,SIERRA VIST,AZ,85635,,,,,,,,,
,,MOUNTAIN VIEW MHP,949-718-0500,,,,,,,,,,,,,,,4521 CAMPUS DRIVE SUITE 325,IRVINE,CA,92612,,,,,,,,,
,,MT LEMMON DWID,520-576-1538,,,,,,,,,,,,,,,PO BOX 669,MOUNT LEMMON,AZ,85619-0669,,,,,,,,,
,,NACO WATER CO BISBEE,520-624-1460,,,,,,,,,,,,,,,PO BOX 85160,TUCSON,AZ,85754,,,,,,,,,
,,NACO WATER CO MAIN,520-623-5172,,,,,,,,,,,,,,,PO BOX 85160,TUCSON,AZ,85754,,,,,,,,,
,,NAVAJO WATER - CHAPARRAL PINES,720-949-1384,,,,,,,,,,,,,,,7581 EAST ACADEMY BLVD,DENVER,CO,80230,,,,,,,,,
,,NAVAJO WATER - LAGUNA ESTATES,720-949-1384,,,,,,,,,,,,,,,7581 EAST ACADEMY BLVD,DENVER,CO,80230,,,,,,,,,
,,NAVAJO WATER - SUMMER PINES,720-949-1384,,,,,,,,,,,,,,,7581 EAST ACADEMY BLVD,DENVER,CO,80230,,,,,,,,,
,,NORTHERN SUNRISE WC CORONADO,520-417-4466,,,,,,,,,,,,,,,4055 CAMPUS DR,SIERRA VISTA,AZ,85635,,,,,,,,,
,,NORTHERN SECTION 4 COOP,480-622-9716,,,,,,,,,,,,,,,,APACHE JUNCTION,AZ,85119,,,,,,,,,
,,NTM AVIATION,520-642-9280,,,,,,,,,,,,,,,3870 VOLUNTEER ST,MCNEAL,AZ,85617,,,,,,,,,
,,OAK CREEK PUBLIC SERVICE LLC,928-567-4338,,,,,,,,,,,,,,,2180 E AMY DR,CAMP VERDE,AZ,86322,,,,,,,,,
,,MOHAWK UTILITY COMPANY,757-613-0101,,,,,,,,,,,,,,,PO BOX 1348,WELLTON,AZ,85356,,,,,,,,,
,,NORTH LA CHOLLA MHP,520-888-3883,,,,,,,,,,,,,,,2460 W RUTHRAUFF RD,TUCSON,AZ,85705,,,,,,,,,
,,OAK CREEK UTILITY CORP,928-274-0112,,,,,,,,,,,,,,,PO BOX 963,SEDONA,AZ,86339,,,,,,,,,
,,OAK CREEK VALLEY,,,,,,,,,,,,,,,,2199 LIOUGH DR,CLARKSDALE,AZ,86324,,,,,,,,,
,,OATMAN WATER COMPANY,928-768-9185,,,,,,,,,,,,,,,9184 N 81ST ST,SCOTTSDALE,AZ,85258,,,,,,,,,
,,OJO BONITO ESTATES DWID,928-537-4671,,,,,,,,,,,,,,,PO BOX 73,VERNON,AZ,85940-0073,,,,,,,,,
,,OLIVE AVENUE HOA,623-935-3432,,,,,,,,,,,,,,,PO BOX 1438,LITCHFIELD PARK,AZ,85340,,,,,,,,,
,,ON THE GREENS,858-204-2393,,,,,,,,,,,,,,,11622 EL CAMINO REAL,SAN DIEGO,CA,92130,,,,,,,,,
,,OAK CREEK WATER CO 1,928-282-3404,,,,,,,,,,,,,,,90 OAK CREEK BLVD,SEDONA,AZ,86336,,,,,,,,,
,,ORACLE NORTH HOME OWNERS ASSOC,520-624-1206,,,,,,,,,,,,,,,,TUCSON,AZ,85705,,,,,,,,,
,,ORANGEWOOD MOBILE HOME PARK,623-869-7498,,,,,,,,,,,,,,,2650 W UNION HILLS DR,PHOENIX,AZ,85027,,,,,,,,,
,,ORO VALLEY WATER COUNTRYSIDE,520-229-5042,,,,,,,,,,,,,,,,ORO VALLEY,AZ,85737,,,,,,,,,
,,PAGE CITY OF,928-645-2419,,,,,,,,,,,,,,,,PAGE,AZ,86040,,,,,,,,,
,,OLD CONCHO WATER USERS,928-245-5782,,,,,,,,,,,,,,,PO BOX 675,ST. JOHNS,AZ,85936,,,,,,,,,
,,PAINTED DESERT DEMO PROJECT STAR SCHOOL,602-412-3533,,,,,,,,,,,,,,,145 LEUPP RD,FLAGSTAFF,AZ,86004,,,,,,,,,
,,ORCHARD VALLEY MOBILE HOME PARK,520-262-3391,,,,,,,,,,,,,,,SUITE 18A,TUCSON,AZ,85739,,,,,,,,,
,,PALOMA RANCH,602-683-2237,,,,,,,,,,,,,,,"38401 W I-8, PO BOX 175",GILA BEND,AZ,85337,,,,,,,,,
,,PALOMINAS WATER SEWER CO,520-255-4208,,,,,,,,,,,,,,,9947 S PALOMINAS RD,HEREFORD,AZ,85615,,,,,,,,,
,,PANTANO WATER COOP,520-730-6149,,,,,,,,,,,,,,,PO BOX 4,VAIL,AZ,85641,,,,,,,,,
,,PARADISE TRAILS PIONEER VALLEY WS,928-854-8800,,,,,,,,,,,,,,,60 ACOMA BLVD S.,LAKE HAVASU CITY,AZ,86403,,,,,,,,,
,,PAPAGO BUTTE DWID,520-568-2239,,,,,,,,,,,,,,,PO BOX 615,MARICOPA,AZ,85139,,,,,,,,,
,,PARKER TOWN OF,928-669-9265,,,,,,,,,,,,,,,1314 11TH STR,PARKER,AZ,85344,,,,,,,,,
,,PARK WATER COMPANY INC,520-624-1460,,,,,,,,,,,,,,,PO BOX 85160,TUCSON,AZ,85754,,,,,,,,,
,,PATAGONIA WATER DEPARTMENT,520-394-2229,,,,,,,,,,,,,,,PO BOX 767,PATAGONIA,AZ,85624,,,,,,,,,
,,PAYSON WATER - DEER CREEK,720-949-1384,,,,,,,,,,,,,,,7581 EAST ACADEMY BLVD,DENVER,CO,80230,,,,,,,,,
,,ORO VALLEY WATER UTILITY,520-229-5042,,,,,,,,,,,,,,,,ORO VALLEY,AZ,85737,,,,,,,,,
,,PAYSON WATER - EAST VERDE ESTATES,720-949-1384,,,,,,,,,,,,,,,7581 EAST ACADEMY BLVD,DENVER,CO,80230,,,,,,,,,
,,PATTON PLACE ESTATES,602-973-6305,,,,,,,,,,,,,,,PO BOX 34237,PHOENIX,AZ,85067,,,,,,,,,
,,PAYSON WATER - FLOWING SPRINGS,720-949-1384,,,,,,,,,,,,,,,7581 EAST ACADEMY BLVD,DENVER,CO,80230,,,,,,,,,
,,PAYSON WATER - GERONIMO ESTATES,720-949-1384,,,,,,,,,,,,,,,7581 EAST ACADEMY BLVD,DENVER,CO,80230,,,,,,,,,
,,PAYSON WATER - GISELA,720-949-1384,,,,,,,,,,,,,,,7581 EAST ACADEMY BLVD,DENVER,CO,80230,,,,,,,,,
,,PAYSON WATER - MEADS RANCH,720-949-1384,,,,,,,,,,,,,,,7581 EAST ACADEMY BLVD,DENVER,CO,80230,,,,,,,,,
,,PAYSON WATER - MESA DE CABALLO,720-949-1384,,,,,,,,,,,,,,,7581 EAST ACADEMY BLVD,DENVER,CO,80230,,,,,,,,,
,,PAYSON WATER - WHISPERING PINES,720-949-1384,,,,,,,,,,,,,,,7581 EAST ACADEMY BLVD,DENVER,CO,80230,,,,,,,,,
,,PEAK VIEW RANCH,480-677-6080,,,,,,,,,,,,,,,PO BOX 1020,APACHE JUNCTION,AZ,85217,,,,,,,,,
,,PEEKABOO WATER COOP,480-895-1100,,,,,,,,,,,,,,,25236 S 154TH ST,GILBERT,AZ,85298,,,,,,,,,
,,PEEPLES VALLEY WATER COMPANY,888-892-0258,,,,,,,,,,,,,,,PO BOX 88006,PHOENIX,AZ,85080,,,,,,,,,
,,PHILADELPHIA WATER SYSTEM,928-632-7163,,,,,,,,,,,,,,,PO BOX 500,CROWN KING,AZ,86343,,,,,,,,,
,,PAYSON TOWN OF,928-472-5109,,,,,,,,,,,,,,,106 N MOGOLLON TR,PAYSON,AZ,85541,,,,,,,,,
,,PHOENIX CITY OF - ANTHEM,602-256-5658,,,,,,,,,,,,,,,BUILDING 31,PHOENIX,AZ,85009,,,,,,,,,
,,PHOENIX CITY OF,602-256-5658,,,,,,,,,,,,,,,BUILDING 31,PHOENIX,AZ,85009,,,,,,,,,
,,PICACHO WATER COMPANY,480-895-9200,,,,,,,,,,,,,,,9532 E RIGGS RD,SUN LAKES,AZ,85248,,,,,,,,,
,,PICACHO PEAK WATER COMPANY,505-266-5985,,,,,,,,,,,,,,,,REDROCK,AZ,85145,,,,,,,,,
,,PICO VISTA COMMUNITY WELL,520-850-2916,,,,,,,,,,,,,,,10205 N CAMINO PICO VISTA,TUCSON,AZ,85742,,,,,,,,,
,,PINE CREEK CANYON DWID,928-476-2260,,,,,,,,,,,,,,,PO BOX 945,PINE,AZ,85544,,,,,,,,,
,,PEORIA CITY OF,623-773-8467,,,,,,,,,,,,,,,8401 W MONROE ST,PEORIA,AZ,85345,,,,,,,,,
,,PICACHO WATER IMPROVEMENT DISTRIC,520-858-4896,,,,,,,,,,,,,,,,PICACHO,AZ,85141,,,,,,,,,
,,PINE WATER ASSOCIATION DWID,623-972-7418,,,,,,,,,,,,,,,PO BOX 563,PINE,AZ,85544,,,,,,,,,
,,PINECREST WATER COMPANY,,,,,,,,,,,,,,,,PO BOX 91,NUTRIOSO,AZ,85932-0091,,,,,,,,,
,,PARK PLACE APARTMENTS,520-297-6141,,,,,,,,,,,,,,,11 E ORANGE GROVE RD,TUCSON,AZ,85704,,,,,,,,,
,,NOGALES CITY OF,520-285-5754,,,,,,,,,,,,,,,PO BOX 4341,RIO RICO,AZ,85648,,,,,,,,,
,,PINE VALLEY WATER COMPANY,928-284-9311,,,,,,,,,,,,,,,480 RAINTREE RD,SEDONA,AZ,86351,,,,,,,,,
,,PINEDALE ESTATES DWID,505-331-3709,,,,,,,,,,,,,,,PO BOX 1553,LAKESIDE,AZ,85929,,,,,,,,,
,,PIONEER RV RESORT,602-869-8178,,,,,,,,,,,,,,,36408 N BLACK CANYON HWY,PHOENIX,AZ,85027,,,,,,,,,
,,PINEDALE DWID,928-739-4519,,,,,,,,,,,,,,,PO BOX 1054,PINEDALE,AZ,85934,,,,,,,,,
,,PINEHURST WATER COMPANY,928-910-1506,,,,,,,,,,,,,,,,PRESCOTT,AZ,86303,,,,,,,,,
,,PIMA UTILITIES,480-802-9463,,,,,,,,,,,,,,,9532 E RIGGS RD,SUN LAKES,AZ,85248,,,,,,,,,
,,PINETOP WATER COMMUNITY FACILITIES DIST,928-367-2022,,,,,,,,,,,,,,,PO BOX 87,PINETOP,AZ,85935,,,,,,,,,
,,PITA WATER COMPANY,520-398-2689,,,,,,,,,,,,,,,PO BOX 6351,AMADO,AZ,85645,,,,,,,,,
,,POCKETKNIFE WATER CO OP,520-647-3229,,,,,,,,,,,,,,,13560 E CRAZY HORSE TRAIL,VAIL,AZ,85641,,,,,,,,,
,,NORTHERN SUNRISE WC MUSTANG CRYSTAL,520-417-4466,,,,,,,,,,,,,,,4055 CAMPUS DR,SIERRA VISTA,AZ,85635,,,,,,,,,
,,PONDEROSA GLEN MHP,928-970-0400,,,,,,,,,,,,,,,1900 E AZ HIGHWAY 260,STAR VALLEY,AZ,85541-5800,,,,,,,,,
,,PONDEROSA PARK DWID,928-778-6869,,,,,,,,,,,,,,,PO BOX 11256,PRESCOTT,AZ,86304,,,,,,,,,
,,PONDEROSA UTILITY CORP,928-525-6210,,,,,,,,,,,,,,,949 OSAGE,FLAGSTAFF,AZ,86005,,,,,,,,,
,,"PONDEROSA WATER, L.L.C",,,,,,,,,,,,,,,,,STRAWBERRY,AZ,85544,,,,,,,,,
,,PINE STRAWBERRY DWID,928-476-4222,,,,,,,,,,,,,,,PO BOX 134,PINE,AZ,85544,,,,,,,,,
,,POMERENE DWID,520-586-2987,,,,,,,,,,,,,,,PO BOX 265,POMERENE,AZ,85627,,,,,,,,,
,,Q MOUNTAIN VISTA MHP,801-388-6941,,,,,,,,,,,,,,,PO BOX 4930,QUARTZSITE,AZ,85346,,,,,,,,,
,,Q MOUNTAIN WATER COMPANY,928-305-8817,,,,,,,,,,,,,,,12486 S FOOTHILLS BLVD,YUMA,AZ,85367,,,,,,,,,
,,PORTER MOUNTAIN DWID,928-537-1245,,,,,,,,,,,,,,,PO BOX 727,LAKESIDE,AZ,85929,,,,,,,,,
,,QUAIL RIDGE DWID,928-445-6581,,,,,,,,,,,,,,,PO BOX 1963,PRESCOTT,AZ,86302,,,,,,,,,
,,PONDEROSA DWID,928-369-3342,,,,,,,,,,,,,,,8706 COUNTRY CLUB DR,PINETOP,AZ,85935,,,,,,,,,
,,QUAIL RUN WATER SYSTEM,928-341-1670,,,,,,,,,,,,,,,PO BOX 709,ROOSEVELT,AZ,85545,,,,,,,,,
,,QUAIL CREEK WATER COMPANY,520-825-3423,,,,,,,,,,,,,,,40004 S RIDGEVIEW BLVD,TUCSON,AZ,85739,,,,,,,,,
,,QUEEN CREEK TOWN OF,480-430-1073,,,,,,,,,,,,,,,22358 S ELLSWORTH RD,QUEEN CREEK,AZ,85142,,,,,,,,,
,,QUEEN VALLEY DWID,520-463-2780,,,,,,,,,,,,,,,1550 E QUEEN VALLEY DR,QUEEN VALLEY,AZ,85118,,,,,,,,,
,,RAINBOW ACRES,928-567-5231,,,,,,,,,,,,,,,2120 W RESERVATION LOOP RD,CAMP VERDE,AZ,86322,,,,,,,,,
,,QUARTZSITE TOWN OF,928-927-4333,,,,,,,,,,,,,,,ATTN EMMETT BRINKERHOFF,QUARTZSITE,AZ,85346,,,,,,,,,
,,RAINDANCE WATER COOP,520-624-1460,,,,,,,,,,,,,,,PO BOX 85160,TUCSON,AZ,85754,,,,,,,,,
,,RANCHEROS BONITOS WATER COMPANY,928-341-9685,,,,,,,,,,,,,,,4743 E 30TH PL,YUMA,AZ,85365,,,,,,,,,
,,RANCHES AT MARICOPA WATER,602-308-9963,,,,,,,,,,,,,,,,MARICOPA,AZ,85139,,,,,,,,,
,,RANCHO SIERRITA WELL ASSOC,520-444-7346,,,,,,,,,,,,,,,10390 S SIERRITA MOUNTAIN RD,TUCSON,AZ,85736,,,,,,,,,
,,RANCHO TIERRA BLANCA POA,520-682-8689,,,,,,,,,,,,,,,1604 S. 6th Ave,TUCSON,AZ,85713,,,,,,,,,
,,PRESCOTT CITY OF,928-777-1620,,,,,,,,,,,,,,,,PRESCOTT,AZ,86301,,,,,,,,,
,,PUEBLO HEIGHTS MHP,928-701-2389,,,,,,,,,,,,,,,PO BOX 2257,GLOBE,AZ,85502,,,,,,,,,
